state,yr,hcci_hl_cat,spend_pm,oop_pm,adj_price,adj_util_1k,price,util_1k,case_mix_index,spend_annual,oop_annual,util_annual,adj_util_annual,price_annual,adj_price_annual,case_mix_annual,spend_cmltv,oop_cmltv,util_cmltv,adj_util_cmltv,price_cmltv,adj_price_cmltv,case_mix_cmltv
MO,2013,Total,4318.477417,793.4371567,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MO,2014,Total,4503.120911,815.1113167,,,,,,0.042756621,0.027316796,-0.011809828,-0.011504292,0.055706096,0.055203681,0.000395384,0.042756621,0.027316796,-0.011809828,-0.011504292,0.055706096,0.055203681,0.000395384
MO,2015,Total,4655.871277,854.6196823,,,,,,0.033921,0.048469901,-0.01076772,-0.012572342,0.045781616,0.047350915,-0.001275658,0.078127965,0.077110738,-0.022266566,-0.023855883,0.103957355,0.105273243,-0.000796784
MO,2016,Total,4953.213013,877.2862511,,,,,,0.063863821,0.026522404,0.012464323,0.019651544,0.051373549,0.043616149,0.007547463,0.14698134,0.10567831,-0.010425152,-0.004802972,0.161238879,0.154278846,0.006815189
MO,2017,Total,5184.340027,904.0774651,,,,,,0.046662036,0.030538738,0.003978488,0.001716526,0.041953915,0.044253329,-0.002208595,0.20050183,0.13944432,-0.006104295,-0.002819914,0.209246662,0.205360111,0.004492722
MS,2013,Total,4732.851135,935.3131332,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MS,2014,Total,4890.218872,951.1397171,,,,,,0.033250093,0.016921161,-0.006203129,-0.008787279,0.040071159,0.043032692,-0.002549161,0.033250093,0.016921161,-0.006203129,-0.008787279,0.040071159,0.043032692,-0.002549161
MS,2015,Total,4889.353271,944.6051331,,,,,,-0.000177007,-0.006870267,-0.011038468,-0.007119764,0.01157155,0.00770075,0.004090226,0.0330672,0.009934641,-0.016818484,-0.015330251,0.052045393,0.051158704,0.001730391
MS,2016,Total,5192.847412,971.9767647,,,,,,0.062072452,0.028976798,0.01011224,0.021508043,0.052299914,0.040253481,0.011815615,0.097192213,0.039199311,-0.007323539,0.005611842,0.107011104,0.094270726,0.013919623
MS,2017,Total,5384.850952,1014.016739,,,,,,0.036974616,0.043252036,0.003673435,-0.005042854,0.03377897,0.043391544,-0.008533875,0.13776048,0.084146798,-0.003390608,0.000240367,0.143409768,0.141226787,0.00597682
MT,2013,Total,4748.034729,797.0906868,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MT,2014,Total,4918.554993,812.182251,,,,,,0.035913862,0.018933309,-0.003728806,0.000431829,0.041811339,0.037202598,0.004250011,0.035913862,0.018933309,-0.003728806,0.000431829,0.041811339,0.037202598,0.004250011
MT,2015,Total,5257.842712,847.324646,,,,,,0.068981178,0.043269102,0.012912415,0.002222005,0.060235534,0.070118911,-0.009818891,0.10737242,0.063021637,0.009406699,0.002601177,0.099366465,0.105716341,-0.005782128
MT,2016,Total,5147.441284,845.4253464,,,,,,-0.020997476,-0.002241525,-0.049610897,-0.029773258,0.032850297,0.010963039,0.022268856,0.084120393,0.060638845,-0.039329278,-0.026427187,0.134874942,0.116718974,0.016242274
MT,2017,Total,5335.899048,873.4000053,,,,,,0.03661193,0.033089448,0.025778052,0.029465367,0.01320861,0.007731868,0.004873806,0.12381214,0.095734805,-0.017273689,0.00203561,0.148691742,0.124950759,0.020387412
NC,2013,Total,4861.832214,847.0162201,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NC,2014,Total,4933.322205,863.0534401,,,,,,0.014704331,0.018933782,-0.027766992,-0.024569537,0.043960661,0.040551947,0.003387828,0.014704331,0.018933782,-0.027766992,-0.024569537,0.043960661,0.040551947,0.003387828
NC,2015,Total,5196.022217,885.2919083,,,,,,0.053250123,0.025767198,0.008645611,0.013767414,0.044122836,0.03881958,0.005252127,0.068737462,0.045188848,-0.019310787,-0.011153568,0.089897642,0.080985126,0.008721682
NC,2016,Total,5400.233276,930.4814606,,,,,,0.039301421,0.051044803,0.005545685,0.006800588,0.034051269,0.032561133,0.001697768,0.11074036,0.098540306,-0.013843376,-0.004553951,0.127378792,0.116824904,0.010875117
NC,2017,Total,5531.719849,954.8737488,,,,,,0.024348313,0.026214696,0.010587919,0.004396202,0.012909527,0.018917194,-0.005911819,0.13778502,0.12733822,-0.002958035,-0.000352231,0.142227521,0.138526412,0.005029825
ND,2013,Total,4617.812073,824.8644943,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
ND,2014,Total,4655.447327,846.3367157,,,,,,0.008150019,0.026031211,-0.01423226,-0.004565014,0.025875214,0.015935195,0.009772632,0.008150019,0.026031211,-0.01423226,-0.004565014,0.025875214,0.015935195,0.009772632
ND,2015,Total,4863.234314,849.1452942,,,,,,0.044633087,0.003318512,-0.010441049,-0.023099594,0.058292628,0.071586209,-0.012819944,0.053146865,0.029436108,-0.025487953,-0.027786958,0.086705183,0.089011591,-0.003066033
ND,2016,Total,5846.3573,902.9911194,,,,,,0.20215414,0.063411795,0.076328047,0.124510904,0.122395198,0.072274341,0.044884891,0.26604488,0.094714493,0.049408308,0.089616446,0.215026714,0.168313269,0.040003378
ND,2017,Total,6131.417847,998.3721237,,,,,,0.04875866,0.10562784,0.037890466,0.021495557,0.013744524,0.029516641,-0.016522076,0.32777554,0.21034683,0.088725829,0.111058381,0.226094244,0.201146499,0.021816345
NE,2013,Total,4929.858459,855.2434349,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
NE,2014,Total,5121.326233,892.923996,,,,,,0.03883839,0.044058286,-0.002524655,0.001448551,0.042385251,0.038253243,0.00405813,0.03883839,0.044058286,-0.002524655,0.001448551,0.042385251,0.038253243,0.00405813
NE,2015,Total,5306.999268,918.2265282,,,,,,0.036254872,0.028336715,0.004369762,0.007570332,0.032500057,0.02922996,0.003298262,0.076501347,0.073643468,0.001819372,0.008883925,0.076615946,0.069111732,0.00745204
NE,2016,Total,5534.398438,967.442585,,,,,,0.042848919,0.053599037,0.015373765,0.013742499,0.026888065,0.028520902,-0.001551848,0.12262826,0.13118972,0.017530059,0.022908596,0.106516879,0.100727786,0.005995273
NE,2017,Total,5771.612671,1012.308254,,,,,,0.042861793,0.046375535,-0.003126764,-0.002393948,0.047422419,0.046594833,0.000893732,0.17074612,0.18364926,0.014991605,0.020716256,0.15737012,0.150615048,0.007161689
NH,2013,Total,5546.502991,797.5183182,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
